Combination,Overlap,Length of Overlap
"(0, 1, 2, 3, 4, 5)","[2, 5]",2
"(0, 1, 2, 3, 4, 6)","[2, 6]",2
"(0, 1, 2, 3, 4, 7)",[2],1
"(0, 1, 2, 3, 4, 8)","[8, 2]",2
"(0, 1, 2, 3, 4, 9)","[9, 2]",2
"(0, 1, 2, 3, 4, 10)",[2],1
"(0, 1, 2, 3, 4, 11)","[2, 11]",2
"(0, 1, 2, 3, 5, 6)","[2, 5, 6]",3
"(0, 1, 2, 3, 5, 7)","[2, 5]",2
"(0, 1, 2, 3, 5, 8)","[8, 2, 5]",3
"(0, 1, 2, 3, 5, 9)","[9, 2, 5]",3
"(0, 1, 2, 3, 5, 10)","[2, 5]",2
"(0, 1, 2, 3, 5, 11)","[2, 11, 5]",3
"(0, 1, 2, 3, 6, 7)","[2, 6]",2
"(0, 1, 2, 3, 6, 8)","[8, 2, 6]",3
"(0, 1, 2, 3, 6, 9)","[9, 2, 6]",3
"(0, 1, 2, 3, 6, 10)","[2, 6]",2
"(0, 1, 2, 3, 6, 11)","[2, 11, 6]",3
"(0, 1, 2, 3, 7, 8)","[8, 2]",2
"(0, 1, 2, 3, 7, 9)","[9, 2]",2
"(0, 1, 2, 3, 7, 10)",[2],1
"(0, 1, 2, 3, 7, 11)","[2, 11]",2
"(0, 1, 2, 3, 8, 9)","[8, 9, 2]",3
"(0, 1, 2, 3, 8, 10)","[8, 2]",2
"(0, 1, 2, 3, 8, 11)","[8, 2, 11]",3
"(0, 1, 2, 3, 9, 10)","[9, 2]",2
"(0, 1, 2, 3, 9, 11)","[9, 2, 11]",3
"(0, 1, 2, 3, 10, 11)","[2, 11]",2
"(0, 1, 2, 4, 5, 6)","[2, 5, 6]",3
"(0, 1, 2, 4, 5, 7)","[2, 5]",2
"(0, 1, 2, 4, 5, 8)","[8, 2, 5]",3
"(0, 1, 2, 4, 5, 9)","[9, 2, 5]",3
"(0, 1, 2, 4, 5, 10)","[2, 5]",2
"(0, 1, 2, 4, 5, 11)","[2, 11, 5]",3
"(0, 1, 2, 4, 6, 7)","[2, 6]",2
"(0, 1, 2, 4, 6, 8)","[8, 2, 6]",3
"(0, 1, 2, 4, 6, 9)","[9, 2, 6]",3
"(0, 1, 2, 4, 6, 10)","[2, 6]",2
"(0, 1, 2, 4, 6, 11)","[2, 11, 6]",3
"(0, 1, 2, 4, 7, 8)","[8, 2]",2
"(0, 1, 2, 4, 7, 9)","[9, 2]",2
"(0, 1, 2, 4, 7, 10)",[2],1
"(0, 1, 2, 4, 7, 11)","[2, 11]",2
"(0, 1, 2, 4, 8, 9)","[8, 9, 2]",3
"(0, 1, 2, 4, 8, 10)","[8, 2]",2
"(0, 1, 2, 4, 8, 11)","[8, 2, 11]",3
"(0, 1, 2, 4, 9, 10)","[9, 2]",2
"(0, 1, 2, 4, 9, 11)","[9, 2, 11]",3
"(0, 1, 2, 4, 10, 11)","[2, 11]",2
"(0, 1, 2, 5, 6, 7)","[2, 5, 6]",3
"(0, 1, 2, 5, 6, 8)","[8, 2, 5, 6]",4
"(0, 1, 2, 5, 6, 9)","[9, 2, 5, 6]",4
"(0, 1, 2, 5, 6, 10)","[2, 5, 6]",3
"(0, 1, 2, 5, 6, 11)","[2, 11, 5, 6]",4
"(0, 1, 2, 5, 7, 8)","[8, 2, 5]",3
"(0, 1, 2, 5, 7, 9)","[9, 2, 5]",3
"(0, 1, 2, 5, 7, 10)","[2, 5]",2
"(0, 1, 2, 5, 7, 11)","[2, 11, 5]",3
"(0, 1, 2, 5, 8, 9)","[8, 9, 2, 5]",4
"(0, 1, 2, 5, 8, 10)","[8, 2, 5]",3
"(0, 1, 2, 5, 8, 11)","[8, 2, 11, 5]",4
"(0, 1, 2, 5, 9, 10)","[9, 2, 5]",3
"(0, 1, 2, 5, 9, 11)","[9, 2, 11, 5]",4
"(0, 1, 2, 5, 10, 11)","[2, 11, 5]",3
"(0, 1, 2, 6, 7, 8)","[8, 2, 6]",3
"(0, 1, 2, 6, 7, 9)","[9, 2, 6]",3
"(0, 1, 2, 6, 7, 10)","[2, 6]",2
"(0, 1, 2, 6, 7, 11)","[2, 11, 6]",3
"(0, 1, 2, 6, 8, 9)","[8, 9, 2, 6]",4
"(0, 1, 2, 6, 8, 10)","[8, 2, 6]",3
"(0, 1, 2, 6, 8, 11)","[8, 2, 11, 6]",4
"(0, 1, 2, 6, 9, 10)","[9, 2, 6]",3
"(0, 1, 2, 6, 9, 11)","[9, 2, 11, 6]",4
